,environmentsatisfaction,jobsatisfaction,worklifebalance,age,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,jobinvolvement,performancerating,attrition,retirementtype,resignationreason
343,1.0,3.0,3.0,40,Travel_Frequently,Sales,9,3,Marketing,Male,3,Manufacturing Director,Single,22380,1.0,14,0,10.0,3,1,0,0,3,3,No,no aplica,no aplica
344,3.0,4.0,2.0,30,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Research Director,Single,14830,5.0,13,0,12.0,3,0,0,0,3,3,No,no aplica,no aplica
345,2.0,3.0,3.0,45,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,1,Research Director,Single,56050,1.0,12,2,1.0,2,1,0,0,3,3,No,no aplica,no aplica
346,2.0,2.0,2.0,42,Travel_Rarely,Research & Development,20,2,Medical,Male,2,Sales Representative,Married,72950,1.0,15,0,10.0,3,9,7,8,3,3,No,no aplica,no aplica
347,1.0,1.0,2.0,38,Travel_Frequently,Sales,4,3,Medical,Male,2,Research Scientist,Divorced,23060,2.0,19,1,13.0,5,4,1,2,3,3,No,no aplica,no aplica
348,3.0,4.0,3.0,34,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,3,Laboratory Technician,Single,23480,1.0,14,1,6.0,3,5,1,3,3,3,No,no aplica,no aplica
349,3.0,4.0,4.0,49,Travel_Rarely,Sales,7,2,Life Sciences,Female,2,Healthcare Representative,Married,89980,1.0,14,2,9.0,2,9,7,7,4,3,No,no aplica,no aplica
350,3.0,4.0,2.0,55,Travel_Rarely,Human Resources,16,3,Technical Degree,Male,4,Manufacturing Director,Single,43190,4.0,11,0,12.0,3,9,7,3,4,3,No,no aplica,no aplica
351,2.0,1.0,3.0,43,Travel_Rarely,Research & Development,25,2,Medical,Male,2,Healthcare Representative,Married,61320,6.0,13,0,22.0,3,4,1,0,2,3,No,no aplica,no aplica
352,3.0,4.0,3.0,27,Travel_Rarely,Sales,2,4,Medical,Male,2,Manager,Divorced,33460,1.0,21,1,9.0,2,9,0,8,2,4,No,no aplica,no aplica
353,3.0,3.0,4.0,35,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Research Director,Single,108550,3.0,13,1,17.0,2,8,1,6,3,3,No,no aplica,no aplica
354,2.0,2.0,3.0,28,Travel_Rarely,Sales,1,2,Technical Degree,Female,1,Sales Executive,Married,22310,1.0,12,0,8.0,3,8,7,5,2,3,No,no aplica,no aplica
355,3.0,4.0,1.0,34,Travel_Rarely,Sales,2,5,Life Sciences,Male,4,Research Scientist,Married,23230,0.0,17,0,4.0,2,3,0,2,3,3,No,no aplica,no aplica
356,3.0,3.0,3.0,26,Travel_Frequently,Research & Development,22,4,Other,Female,1,Sales Executive,Married,20240,1.0,23,0,8.0,2,8,1,7,3,4,No,no aplica,no aplica
357,4.0,4.0,2.0,27,Non-Travel,Sales,1,3,Technical Degree,Female,1,Sales Executive,Married,27130,1.0,11,0,0.0,2,0,0,0,3,3,No,no aplica,no aplica
358,1.0,3.0,2.0,51,Travel_Rarely,Sales,16,3,Medical,Male,3,Research Scientist,Married,94390,2.0,15,3,29.0,0,20,4,17,3,3,No,no aplica,no aplica
359,4.0,2.0,2.0,44,Travel_Rarely,Sales,24,5,Medical,Female,1,Sales Executive,Single,25660,9.0,11,1,10.0,3,5,2,3,3,3,No,no aplica,no aplica
360,1.0,1.0,2.0,25,Travel_Rarely,Research & Development,17,3,Medical,Male,1,Laboratory Technician,Single,199260,7.0,11,3,6.0,5,4,0,1,4,3,No,no aplica,no aplica
361,1.0,1.0,3.0,33,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,3,Laboratory Technician,Divorced,24510,1.0,13,1,9.0,3,9,0,8,2,3,No,no aplica,no aplica
362,3.0,1.0,2.0,35,Travel_Rarely,Sales,6,4,Medical,Female,2,Manager,Single,94190,1.0,24,1,6.0,5,6,1,1,2,4,No,no aplica,no aplica
363,2.0,4.0,2.0,36,Travel_Rarely,Sales,10,4,Marketing,Male,3,Manager,Married,86860,1.0,13,0,18.0,2,18,4,11,3,3,No,no aplica,no aplica
364,2.0,4.0,2.0,32,Travel_Rarely,Research & Development,3,4,Medical,Female,4,Sales Executive,Divorced,30380,2.0,20,0,8.0,3,5,0,3,3,4,No,no aplica,no aplica
365,2.0,4.0,2.0,30,Travel_Frequently,Research & Development,4,5,Medical,Male,5,Sales Representative,Divorced,30580,9.0,14,1,10.0,2,5,0,3,3,3,No,no aplica,no aplica
366,1.0,4.0,3.0,53,Travel_Rarely,Sales,6,3,Marketing,Male,4,Sales Executive,Married,23250,7.0,18,1,35.0,1,5,0,4,4,3,No,no aplica,no aplica
367,4.0,1.0,3.0,45,Travel_Rarely,Research & Development,1,5,Technical Degree,Male,2,Healthcare Representative,Divorced,20880,4.0,15,3,18.0,2,5,0,2,3,3,No,no aplica,no aplica
368,3.0,3.0,2.0,32,Travel_Rarely,Sales,10,3,Marketing,Female,1,Human Resources,Married,30720,5.0,12,0,9.0,4,5,1,3,1,3,No,no aplica,no aplica
369,3.0,4.0,3.0,52,Travel_Frequently,Research & Development,1,1,Life Sciences,Male,2,Laboratory Technician,Married,50060,3.0,16,1,31.0,2,9,0,0,3,3,No,no aplica,no aplica
370,4.0,3.0,3.0,37,Travel_Rarely,Sales,24,2,Life Sciences,Female,4,Laboratory Technician,Divorced,42570,4.0,15,0,9.0,2,1,0,0,3,3,No,no aplica,no aplica
371,2.0,4.0,3.0,28,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,1,Healthcare Representative,Divorced,25000,1.0,16,2,6.0,3,5,0,4,3,3,No,no aplica,no aplica
372,4.0,4.0,1.0,22,Travel_Rarely,Research & Development,2,2,Life Sciences,Male,1,Sales Representative,Married,11020,6.0,19,0,4.0,3,2,2,2,2,3,No,no aplica,no aplica
373,1.0,4.0,2.0,44,Travel_Rarely,Research & Development,22,3,Medical,Female,1,Laboratory Technician,Married,104530,2.0,11,1,10.0,2,3,0,2,3,3,No,no aplica,no aplica
374,2.0,4.0,3.0,42,Travel_Frequently,Sales,13,4,Life Sciences,Female,2,Laboratory Technician,Single,22880,5.0,16,1,8.0,4,2,2,2,2,3,No,no aplica,no aplica
375,1.0,1.0,3.0,36,Travel_Rarely,Research & Development,14,3,Other,Male,2,Research Scientist,Married,39290,0.0,24,0,6.0,6,5,0,3,2,4,No,no aplica,no aplica
376,3.0,1.0,3.0,25,Travel_Rarely,Sales,11,3,Life Sciences,Female,1,Laboratory Technician,Married,23110,1.0,11,1,5.0,2,5,0,3,3,3,No,no aplica,no aplica
377,4.0,3.0,3.0,35,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Healthcare Representative,Married,31400,1.0,13,1,17.0,2,17,5,15,2,3,No,no aplica,no aplica
378,4.0,2.0,2.0,35,Travel_Frequently,Sales,8,2,Marketing,Female,1,Laboratory Technician,Divorced,36900,1.0,13,1,10.0,2,10,7,8,4,3,No,no aplica,no aplica
379,4.0,4.0,3.0,32,Non-Travel,Research & Development,21,3,Life Sciences,Male,1,Sales Executive,Divorced,44500,0.0,13,0,4.0,3,3,0,2,3,3,No,no aplica,no aplica
380,3.0,1.0,4.0,25,Travel_Rarely,Sales,5,3,Marketing,Female,4,Research Scientist,Married,27560,1.0,12,2,5.0,2,5,0,3,3,3,No,no aplica,no aplica
381,3.0,1.0,3.0,49,Travel_Rarely,Sales,9,3,Technical Degree,Female,2,Sales Representative,Married,190330,2.0,18,1,7.0,5,4,0,2,3,3,No,no aplica,no aplica
382,1.0,4.0,2.0,24,Non-Travel,Research & Development,2,5,Technical Degree,Male,2,Healthcare Representative,Married,187220,0.0,22,1,6.0,3,5,3,4,3,4,No,no aplica,no aplica
383,2.0,2.0,3.0,32,Travel_Frequently,Research & Development,12,5,Medical,Male,1,Research Scientist,Married,95470,1.0,13,1,10.0,3,10,5,3,2,3,No,no aplica,no aplica
384,2.0,2.0,3.0,38,Travel_Rarely,Sales,22,2,Medical,Male,1,Sales Executive,Married,137340,0.0,13,0,3.0,3,2,1,2,4,3,No,no aplica,no aplica
385,3.0,4.0,2.0,42,Travel_Rarely,Research & Development,18,1,Technical Degree,Female,2,Research Scientist,Married,199990,2.0,23,1,17.0,6,5,1,3,3,4,No,no aplica,no aplica
386,4.0,4.0,3.0,31,Travel_Rarely,Research & Development,16,3,Life Sciences,Female,3,Sales Executive,Married,22790,3.0,12,1,8.0,3,6,0,2,3,3,No,no aplica,no aplica
387,2.0,3.0,3.0,29,Travel_Rarely,Sales,3,3,Marketing,Male,3,Laboratory Technician,Divorced,59160,6.0,12,0,5.0,2,3,0,2,3,3,No,no aplica,no aplica
388,1.0,4.0,3.0,53,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,1,Sales Representative,Married,20890,5.0,16,0,28.0,2,2,2,2,2,3,No,no aplica,no aplica
389,4.0,2.0,3.0,35,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Healthcare Representative,Married,167920,3.0,12,1,16.0,3,13,4,8,4,3,No,no aplica,no aplica
390,3.0,4.0,3.0,37,Travel_Frequently,Research & Development,13,4,Life Sciences,Female,3,Human Resources,Married,35640,5.0,11,0,10.0,1,5,0,0,1,3,No,no aplica,no aplica
391,4.0,4.0,3.0,53,Travel_Rarely,Research & Development,1,1,Medical,Male,1,Sales Executive,Single,44250,6.0,22,1,33.0,2,12,3,8,4,4,No,no aplica,no aplica
392,4.0,4.0,2.0,43,Travel_Frequently,Research & Development,1,3,Medical,Male,1,Laboratory Technician,Married,52650,4.0,11,1,12.0,4,5,2,2,3,3,No,no aplica,no aplica
393,3.0,4.0,3.0,47,Travel_Rarely,Sales,15,4,Marketing,Female,3,Research Director,Married,65530,0.0,15,0,8.0,2,7,7,7,3,3,No,no aplica,no aplica
394,1.0,2.0,3.0,37,Non-Travel,Research & Development,1,5,Medical,Female,2,Research Scientist,Single,62610,1.0,12,0,10.0,1,10,0,9,3,3,No,no aplica,no aplica
395,1.0,1.0,3.0,50,Non-Travel,Research & Development,17,3,Medical,Female,1,Laboratory Technician,Divorced,42980,1.0,20,1,31.0,6,31,14,7,3,4,No,no aplica,no aplica
396,4.0,4.0,3.0,39,Travel_Rarely,Research & Development,1,3,Other,Female,3,Human Resources,Married,68040,8.0,14,1,13.0,3,5,0,4,2,3,No,no aplica,no aplica
397,4.0,2.0,4.0,33,Travel_Rarely,Sales,7,3,Life Sciences,Male,2,Manufacturing Director,Divorced,38150,3.0,11,1,7.0,3,4,0,3,3,3,No,no aplica,no aplica
398,1.0,4.0,1.0,32,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Laboratory Technician,Single,27410,1.0,15,1,1.0,5,1,0,1,2,3,No,no aplica,no aplica
399,1.0,4.0,3.0,29,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,4,Healthcare Representative,Divorced,66730,6.0,12,1,8.0,2,4,0,3,4,3,No,no aplica,no aplica
400,2.0,1.0,3.0,44,Travel_Rarely,Research & Development,26,2,Life Sciences,Male,2,Manufacturing Director,Married,76390,1.0,14,0,8.0,6,8,7,1,3,3,No,no aplica,no aplica
401,1.0,4.0,3.0,28,Travel_Rarely,Sales,24,5,Life Sciences,Female,1,Research Scientist,Single,23280,1.0,11,2,4.0,3,4,0,2,3,3,No,no aplica,no aplica
402,4.0,4.0,2.0,58,Travel_Frequently,Sales,9,2,Technical Degree,Male,1,Sales Executive,Divorced,21530,9.0,11,0,3.0,3,1,0,0,3,3,No,no aplica,no aplica
403,1.0,2.0,4.0,43,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Divorced,48760,4.0,16,2,4.0,4,1,0,0,3,3,No,no aplica,no aplica
404,3.0,3.0,2.0,20,Travel_Rarely,Research & Development,11,3,Medical,Male,2,Sales Executive,Single,93960,1.0,12,0,2.0,6,2,0,2,1,3,No,no aplica,no aplica
405,3.0,4.0,2.0,21,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Sales Executive,Single,104000,1.0,13,1,1.0,2,1,0,0,3,3,No,no aplica,no aplica
406,3.0,4.0,2.0,36,Travel_Rarely,Research & Development,26,4,Medical,Male,1,Laboratory Technician,Married,84740,0.0,14,0,17.0,3,16,4,11,3,3,No,no aplica,no aplica
407,4.0,4.0,2.0,47,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Single,99810,1.0,21,1,3.0,3,3,1,2,3,4,No,no aplica,no aplica
408,2.0,3.0,4.0,22,Travel_Rarely,Research & Development,15,4,Life Sciences,Female,1,Laboratory Technician,Married,124900,0.0,13,0,4.0,3,3,0,2,3,3,No,no aplica,no aplica
409,2.0,4.0,2.0,41,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,2,Sales Executive,Divorced,26570,4.0,11,0,10.0,3,7,1,0,4,3,No,no aplica,no aplica
410,3.0,3.0,3.0,28,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,3,Manager,Divorced,135910,5.0,20,1,6.0,2,2,2,2,3,4,No,no aplica,no aplica
411,4.0,1.0,1.0,39,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,Human Resources,Married,66960,7.0,11,0,8.0,3,2,2,2,3,3,No,no aplica,no aplica
412,2.0,3.0,3.0,27,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Research Scientist,Single,20580,1.0,14,1,1.0,5,1,0,0,3,3,No,no aplica,no aplica
413,2.0,2.0,3.0,34,Travel_Rarely,Research & Development,12,2,Technical Degree,Male,2,Human Resources,Divorced,88650,1.0,11,1,1.0,0,1,1,0,3,3,No,no aplica,no aplica
414,3.0,3.0,3.0,42,Travel_Rarely,Sales,11,1,Technical Degree,Male,2,Human Resources,Single,59400,7.0,16,0,10.0,2,5,0,3,2,3,No,no aplica,no aplica
415,3.0,1.0,3.0,33,Travel_Rarely,Sales,2,3,Marketing,Female,1,Sales Executive,Single,59140,3.0,16,1,6.0,4,3,0,2,3,3,No,no aplica,no aplica
416,3.0,2.0,3.0,58,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,1,Research Scientist,Divorced,26220,2.0,23,0,24.0,3,6,0,4,3,4,No,no aplica,no aplica
417,2.0,3.0,4.0,31,Travel_Rarely,Sales,1,3,Life Sciences,Female,1,Sales Representative,Married,121850,3.0,14,0,13.0,2,7,5,2,3,3,No,no aplica,no aplica
418,4.0,4.0,1.0,35,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,3,Healthcare Representative,Married,106090,1.0,22,0,10.0,3,10,0,7,3,4,No,no aplica,no aplica
419,1.0,2.0,2.0,49,Travel_Rarely,Research & Development,25,2,Life Sciences,Female,2,Sales Executive,Married,43450,4.0,15,0,29.0,3,26,1,7,2,3,No,no aplica,no aplica
420,4.0,3.0,2.0,48,Travel_Rarely,Research & Development,1,4,Medical,Male,1,Research Scientist,Married,21770,4.0,18,0,13.0,4,0,0,0,3,3,No,no aplica,no aplica
421,4.0,3.0,2.0,31,Non-Travel,Research & Development,1,2,Technical Degree,Female,2,Sales Executive,Married,27930,1.0,16,0,9.0,4,9,0,0,3,3,No,no aplica,no aplica
422,2.0,4.0,3.0,36,Travel_Rarely,Human Resources,2,4,Technical Degree,Male,1,Sales Executive,Single,79180,2.0,12,2,8.0,3,6,0,1,2,3,No,no aplica,no aplica
423,4.0,1.0,3.0,38,Travel_Rarely,Sales,6,3,Other,Male,2,Sales Executive,Married,87890,1.0,11,3,15.0,4,15,5,11,3,3,No,no aplica,no aplica
424,3.0,2.0,3.0,32,Non-Travel,Sales,18,3,Marketing,Male,1,Laboratory Technician,Married,23890,6.0,12,1,5.0,4,3,0,2,2,3,No,no aplica,no aplica
425,3.0,2.0,3.0,25,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,32120,1.0,15,1,1.0,3,1,0,0,2,3,No,no aplica,no aplica
426,1.0,2.0,2.0,40,Travel_Rarely,Research & Development,1,4,Medical,Male,2,Research Scientist,Divorced,192320,2.0,14,1,11.0,3,1,0,0,3,3,No,no aplica,no aplica
427,3.0,1.0,3.0,26,Travel_Frequently,Sales,11,3,Marketing,Male,2,Healthcare Representative,Single,22670,1.0,19,3,7.0,2,7,0,7,2,3,No,no aplica,no aplica
428,4.0,1.0,3.0,41,Travel_Rarely,Research & Development,1,4,Medical,Male,1,Research Scientist,Single,195170,2.0,13,0,20.0,5,18,2,17,3,3,No,no aplica,no aplica
429,3.0,3.0,3.0,36,Travel_Rarely,Research & Development,9,3,Life Sciences,Female,2,Healthcare Representative,Single,24360,4.0,13,0,16.0,3,11,3,9,1,3,No,no aplica,no aplica
430,4.0,2.0,4.0,19,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,160640,1.0,15,1,1.0,3,1,0,0,3,3,No,no aplica,no aplica
431,1.0,1.0,3.0,20,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Laboratory Technician,Single,27070,1.0,11,0,1.0,2,1,0,0,3,3,No,no aplica,no aplica
432,4.0,4.0,1.0,31,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,4,Research Director,Married,190680,0.0,12,0,10.0,1,9,8,5,3,3,No,no aplica,no aplica
433,4.0,2.0,3.0,40,Travel_Frequently,Sales,1,3,Marketing,Male,1,Research Scientist,Divorced,39310,8.0,19,0,3.0,2,1,0,0,2,3,No,no aplica,no aplica
434,3.0,1.0,4.0,32,Travel_Rarely,Research & Development,24,3,Life Sciences,Male,4,Laboratory Technician,Married,37300,1.0,25,1,8.0,4,8,6,3,3,4,No,no aplica,no aplica
435,3.0,4.0,3.0,36,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1.0,12,1,16.0,2,16,3,7,3,3,No,no aplica,no aplica
436,2.0,4.0,3.0,33,Travel_Rarely,Research & Development,1,4,Medical,Female,4,Manufacturing Director,Single,44650,0.0,13,0,6.0,3,5,1,4,3,3,No,no aplica,no aplica
437,1.0,3.0,1.0,37,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5.0,14,0,17.0,3,14,11,7,2,3,No,no aplica,no aplica
438,3.0,2.0,2.0,45,Non-Travel,Research & Development,8,1,Life Sciences,Male,2,Sales Executive,Married,33190,1.0,12,1,9.0,3,9,0,8,3,3,No,no aplica,no aplica
439,3.0,4.0,3.0,29,Travel_Frequently,Research & Development,29,1,Life Sciences,Male,1,Sales Representative,Married,192020,1.0,12,0,3.0,5,3,0,2,3,3,No,no aplica,no aplica
440,3.0,3.0,3.0,35,Travel_Rarely,Human Resources,1,3,Human Resources,Male,3,Laboratory Technician,Married,136750,1.0,15,3,5.0,5,5,1,0,2,3,No,no aplica,no aplica
441,4.0,4.0,2.0,52,Travel_Rarely,Research & Development,5,4,Other,Male,1,Laboratory Technician,Married,29110,2.0,17,2,26.0,3,9,7,8,3,3,No,no aplica,no aplica
442,4.0,3.0,3.0,58,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4.0,14,1,7.0,2,1,0,0,1,3,No,no aplica,no aplica
443,3.0,3.0,4.0,53,Travel_Rarely,Research & Development,9,3,Technical Degree,Male,1,Manager,Divorced,39200,6.0,16,1,22.0,3,17,15,2,3,3,No,no aplica,no aplica
444,3.0,3.0,4.0,30,Travel_Rarely,Sales,3,4,Marketing,Male,1,Sales Executive,Divorced,64340,5.0,14,1,10.0,3,8,7,7,2,3,No,no aplica,no aplica
445,3.0,4.0,3.0,38,Non-Travel,Sales,4,3,Life Sciences,Male,2,Research Director,Single,100480,1.0,23,1,6.0,2,5,1,3,3,4,No,no aplica,no aplica
446,4.0,4.0,3.0,35,Travel_Rarely,Sales,1,2,Life Sciences,Female,2,Healthcare Representative,Divorced,109380,6.0,14,2,12.0,2,10,0,8,1,3,No,no aplica,no aplica
447,1.0,3.0,3.0,39,Travel_Rarely,Sales,1,1,Marketing,Male,2,Research Scientist,Single,23400,0.0,11,1,9.0,2,8,0,7,2,3,No,no aplica,no aplica
448,2.0,2.0,2.0,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4.0,15,0,22.0,2,1,0,0,3,3,No,no aplica,no aplica
449,3.0,3.0,4.0,47,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,3,Sales Executive,Divorced,69310,1.0,11,0,20.0,3,19,2,7,3,3,No,no aplica,no aplica
450,1.0,4.0,3.0,36,Non-Travel,Sales,28,1,Life Sciences,Male,2,Research Scientist,Divorced,48980,4.0,13,1,12.0,3,7,0,7,3,3,No,no aplica,no aplica
451,3.0,1.0,3.0,31,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0.0,21,0,4.0,2,3,1,2,3,4,No,no aplica,no aplica
452,4.0,3.0,3.0,33,Non-Travel,Sales,15,3,Other,Male,4,Research Director,Single,194360,1.0,19,2,10.0,4,10,6,0,3,3,No,no aplica,no aplica
453,4.0,1.0,3.0,29,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6.0,11,1,3.0,2,0,0,0,2,3,No,no aplica,no aplica
454,2.0,4.0,3.0,33,Travel_Rarely,Research & Development,2,2,Technical Degree,Male,2,Laboratory Technician,Single,34790,3.0,12,0,5.0,3,3,0,2,3,3,No,no aplica,no aplica
455,4.0,4.0,3.0,45,Travel_Rarely,Research & Development,26,1,Medical,Female,3,Healthcare Representative,Divorced,27940,3.0,19,1,8.0,2,5,0,2,3,3,No,no aplica,no aplica
456,4.0,4.0,2.0,50,Travel_Rarely,Sales,10,1,Life Sciences,Female,1,Manufacturing Director,Divorced,52490,9.0,21,2,32.0,2,5,1,3,2,4,No,no aplica,no aplica
457,3.0,2.0,3.0,33,Travel_Frequently,Sales,1,3,Marketing,Male,2,Human Resources,Married,21760,1.0,14,1,6.0,2,6,1,2,2,3,No,no aplica,no aplica
458,1.0,3.0,4.0,41,Travel_Frequently,Sales,11,3,Other,Male,1,Laboratory Technician,Divorced,168720,2.0,15,1,21.0,2,18,0,11,3,3,No,no aplica,no aplica
459,3.0,2.0,3.0,27,Travel_Rarely,Research & Development,20,4,Other,Male,2,Manufacturing Director,Married,34850,9.0,17,2,4.0,2,2,2,2,3,3,No,no aplica,no aplica
460,4.0,1.0,3.0,45,Non-Travel,Sales,2,3,Medical,Female,1,Sales Executive,Married,66440,1.0,12,0,9.0,3,9,0,8,4,3,No,no aplica,no aplica
461,4.0,4.0,3.0,47,Travel_Rarely,Sales,18,4,Medical,Female,2,Research Scientist,Single,55820,1.0,16,0,9.0,3,9,0,7,3,3,No,no aplica,no aplica
462,1.0,3.0,3.0,30,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4.0,12,0,7.0,5,5,0,1,2,3,No,no aplica,no aplica
463,4.0,3.0,3.0,50,Travel_Rarely,Research & Development,1,3,Technical Degree,Female,2,Sales Executive,Married,134960,3.0,18,1,22.0,3,12,1,5,3,3,No,no aplica,no aplica
464,3.0,3.0,2.0,38,Travel_Frequently,Research & Development,13,3,Technical Degree,Male,1,Manufacturing Director,Married,32100,0.0,17,2,3.0,5,2,0,2,2,3,No,no aplica,no aplica
465,4.0,3.0,3.0,46,Travel_Rarely,Research & Development,28,3,Medical,Female,3,Human Resources,Divorced,190450,6.0,11,3,13.0,2,8,0,7,3,3,No,no aplica,no aplica
466,4.0,3.0,3.0,24,Travel_Rarely,Sales,28,3,Life Sciences,Female,1,Healthcare Representative,Divorced,118490,1.0,16,1,5.0,3,4,3,2,3,3,No,no aplica,no aplica
467,3.0,2.0,1.0,35,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1.0,13,3,5.0,1,4,0,2,2,3,No,no aplica,no aplica
468,3.0,1.0,3.0,31,Travel_Frequently,Research & Development,5,2,Technical Degree,Male,2,Sales Executive,Married,65020,1.0,12,0,4.0,3,4,0,3,3,3,No,no aplica,no aplica
469,2.0,4.0,3.0,18,Non-Travel,Sales,5,4,Other,Male,2,Manager,Single,32300,1.0,12,1,0.0,3,0,0,0,3,3,No,no aplica,no aplica
470,3.0,3.0,3.0,54,Travel_Rarely,Sales,23,3,Medical,Female,1,Laboratory Technician,Married,136030,8.0,13,1,22.0,2,10,0,8,3,3,No,no aplica,no aplica
471,3.0,3.0,2.0,35,Travel_Rarely,Research & Development,6,4,Medical,Female,1,Manufacturing Director,Divorced,119960,1.0,19,2,16.0,3,16,10,1,3,3,No,no aplica,no aplica
472,2.0,1.0,2.0,30,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,5,Healthcare Representative,Married,56050,0.0,12,1,9.0,0,8,1,7,2,3,No,no aplica,no aplica
473,4.0,1.0,3.0,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1.0,17,1,1.0,3,1,0,0,3,3,No,no aplica,no aplica
474,2.0,2.0,3.0,30,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0.0,11,0,4.0,3,3,1,2,3,3,No,no aplica,no aplica
475,4.0,4.0,3.0,26,Travel_Rarely,Sales,1,3,Marketing,Female,2,Research Scientist,Married,175840,1.0,20,0,8.0,2,8,1,3,3,4,No,no aplica,no aplica
476,2.0,1.0,2.0,22,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Representative,Married,49070,1.0,21,1,4.0,2,4,1,1,3,4,No,no aplica,no aplica
477,1.0,3.0,3.0,48,Travel_Rarely,Human Resources,2,4,Medical,Male,2,Sales Executive,Single,45540,2.0,11,2,19.0,3,2,2,2,3,3,No,no aplica,no aplica
478,3.0,3.0,3.0,48,Travel_Rarely,Sales,3,3,Medical,Male,1,Research Director,Single,54150,7.0,11,1,27.0,1,15,4,8,3,3,No,no aplica,no aplica
479,4.0,3.0,3.0,41,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Research Scientist,Single,47410,6.0,16,0,8.0,3,2,2,1,3,3,No,no aplica,no aplica
480,4.0,4.0,3.0,39,Travel_Rarely,Sales,2,3,Life Sciences,Male,3,Human Resources,Married,21150,1.0,18,0,21.0,3,21,11,8,4,3,No,no aplica,no aplica
481,1.0,4.0,3.0,27,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,2,Human Resources,Married,31610,0.0,13,2,4.0,0,3,2,2,3,3,No,no aplica,no aplica
482,2.0,4.0,2.0,35,Travel_Rarely,Sales,24,3,Medical,Male,5,Sales Executive,Divorced,57450,1.0,17,3,3.0,4,3,1,2,3,3,No,no aplica,no aplica
483,4.0,3.0,3.0,42,Travel_Rarely,Research & Development,23,4,Other,Male,1,Research Scientist,Married,23730,6.0,14,1,21.0,3,1,0,0,4,3,No,no aplica,no aplica
484,1.0,4.0,3.0,50,Travel_Rarely,Sales,27,3,Medical,Male,2,Sales Executive,Married,33100,4.0,22,1,8.0,3,1,0,0,4,4,No,no aplica,no aplica
485,3.0,4.0,3.0,59,Travel_Rarely,Research & Development,16,4,Medical,Female,5,Laboratory Technician,Single,186650,3.0,12,0,30.0,3,5,4,3,2,3,No,no aplica,no aplica
486,1.0,2.0,1.0,37,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5.0,11,1,15.0,2,1,0,0,4,3,No,no aplica,no aplica
487,3.0,2.0,3.0,55,Travel_Frequently,Research & Development,26,2,Life Sciences,Female,2,Sales Executive,Married,27890,3.0,13,1,17.0,2,8,6,7,2,3,No,no aplica,no aplica
488,2.0,3.0,3.0,41,Non-Travel,Research & Development,19,1,Life Sciences,Male,2,Research Scientist,Divorced,58280,1.0,13,0,21.0,0,21,5,10,3,3,No,no aplica,no aplica
